Kelas,Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
LC09,Pria,3,3,2,2,3,3,2,3,2,2
LA09,Wanita,3,2,2,2,2,3,2,2,2,2
LB09,Pria,4,3,3,2,2,4,3,3,3,2
LB09,Pria,3,3,3,2,3,4,3,4,3,4
LB09,Wanita,3,3,2,2,3,3,3,3,3,3
LB09,Pria,4,4,3,2,2,4,2,3,3,3
LB09,Pria,3,3,2,3,3,3,3,3,3,3
LB09,Pria,3,2,2,2,2,3,2,2,1,2
LA09,Pria,3,3,2,3,2,2,2,2,3,2
LA09,Wanita,3,3,3,2,2,3,3,3,3,3
LC09,Pria,4,3,3,3,3,3,3,3,3,3
LC09,Pria,4,1,3,3,4,4,3,3,3,3
LA09,Pria,3,2,3,2,2,3,2,3,2,3
LC09,Pria,3,2,3,3,3,3,3,3,3,3
LB09,Pria,3,2,2,2,2,3,3,2,2,2
LA09,Pria,3,3,2,2,2,3,3,2,2,3
LB09,Pria,3,3,2,3,2,3,2,2,3,3
LC09,Pria,3,2,2,3,2,3,3,3,3,3
LA09,Wanita,3,3,3,3,3,3,2,3,3,3
LB09,Wanita,4,3,1,2,3,4,1,2,3,2
LA09,Pria,4,3,3,2,2,4,3,3,3,3
LB09,Wanita,4,4,3,3,3,4,3,3,2,3
LC09,Pria,3,3,3,4,3,3,3,3,3,2
LE09,Pria,4,3,3,3,3,4,4,4,4,3
LD09,Pria,3,4,1,3,3,4,2,3,3,3
LB09,Pria,3,3,3,3,3,3,4,3,3,3
LE09,Pria,3,2,2,3,3,2,2,3,2,2
LB09,Pria,2,3,3,2,3,3,2,3,3,2
LB09,Pria,3,4,3,3,3,3,3,3,3,3
LB09,Wanita,3,3,2,2,2,3,2,1,3,2
LB09,Wanita,4,4,3,2,3,3,3,3,3,3
LE09,Pria,4,4,3,3,3,4,3,3,3,3
LE09,Pria,3,3,2,2,2,3,2,3,3,3
LB09,Pria,3,4,3,3,3,4,3,3,3,3
LB09,Pria,3,3,3,3,3,2,3,3,3,3
LC09,Pria,4,4,3,2,2,4,4,2,2,2
LC09,Pria,4,3,3,4,4,3,3,3,3,3
LB09,Wanita,4,3,3,2,2,3,3,3,3,3
LC09,Pria,4,4,3,3,3,3,3,3,3,3
LE09,Wanita,3,2,3,2,2,3,3,3,3,3
LE09,Pria,3,3,3,3,2,3,2,3,3,3
LC09,Pria,3,3,3,3,2,3,3,3,3,3
LB09,Pria,3,2,1,2,3,4,3,2,2,3
LB09,Pria,3,3,4,4,3,3,4,4,4,3
LA09,Pria,4,3,3,4,3,3,3,3,3,3
LE09,Pria,3,2,3,3,3,3,2,2,3,3
LA09,Pria,4,4,3,3,3,4,3,2,3,3
LD09,Pria,2,3,2,1,4,2,3,2,1,3
