Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Kelas
2,5,5,5,4,5,5,5,5,3,3,2,5,4,4,2,5,4,3,5,LC09
2,2,4,3,4,2,4,4,4,3,4,4,4,2,2,2,5,4,5,5,LA09
3,2,5,4,2,3,4,5,3,3,4,4,4,3,3,2,3,3,3,2,LB09
2,3,4,4,3,3,4,2,2,3,5,4,3,4,4,2,3,3,4,3,LB09
1,1,2,3,3,3,4,3,3,4,2,2,2,3,3,2,1,4,4,1,LB09
1,1,5,3,4,4,2,1,5,2,5,3,5,3,1,1,4,3,5,2,LB09
3,2,5,4,4,3,4,4,3,5,3,3,5,3,3,2,4,3,3,4,LB09
1,1,4,2,3,4,4,3,5,3,2,1,3,4,5,1,4,3,3,4,LB09
3,3,4,5,4,5,4,4,3,3,2,3,4,3,4,4,3,3,3,4,LA09
3,3,5,4,4,3,4,3,3,2,2,3,3,2,2,2,4,4,3,4,LA09
2,2,3,3,4,2,2,3,3,2,2,3,4,3,3,3,3,3,4,4,LC09
2,3,5,3,4,3,2,4,2,2,2,3,3,2,2,2,3,4,4,4,LC09
3,2,4,4,4,4,4,4,3,3,2,2,3,3,3,3,4,5,4,5,LA09
2,3,3,4,4,3,4,3,3,2,2,3,2,2,2,2,3,4,3,4,LC09
4,2,4,4,5,3,3,4,3,2,2,3,3,2,2,2,4,4,4,5,LB09
3,2,4,4,4,2,2,4,3,2,2,3,2,2,2,2,4,4,3,4,LA09
3,2,4,3,4,3,4,4,3,3,2,3,3,2,2,2,3,4,3,4,LB09
3,2,4,3,5,3,2,4,3,2,2,3,3,1,2,1,4,4,3,4,LC09
2,2,3,3,2,2,4,4,3,3,2,2,2,3,3,1,3,3,4,3,LA09
4,4,5,5,5,3,5,3,5,4,4,3,5,3,2,3,5,2,5,5,LB09
1,1,2,3,2,3,4,2,2,1,3,2,1,2,2,3,1,2,3,2,LA09
2,1,3,2,5,5,5,5,2,1,2,1,2,2,2,1,2,4,2,2,LB09
2,2,2,3,2,5,4,3,3,4,3,2,2,3,3,2,2,3,4,2,LC09
3,3,2,5,3,5,5,5,5,5,4,2,3,2,2,2,3,2,2,3,LE09
1,1,4,5,5,1,3,3,3,1,3,1,5,2,2,4,4,2,5,2,LD09
3,4,2,2,3,4,5,2,3,1,2,1,4,2,2,2,2,2,4,2,LB09
4,2,4,4,4,2,3,3,4,2,2,3,3,3,2,3,3,4,4,4,LE09
3,2,2,3,3,4,5,5,3,2,2,2,2,2,2,2,3,3,4,3,LB09
2,1,4,3,4,2,5,2,2,3,3,2,4,3,2,2,3,2,3,4,LB09
3,1,5,3,4,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,LB09
3,2,5,5,5,4,5,5,4,2,4,2,5,4,4,2,4,4,5,5,LB09
1,1,4,2,3,2,5,1,2,3,3,4,3,2,2,2,2,1,3,3,LE09
2,2,3,3,3,2,3,1,3,2,2,2,3,3,2,3,3,2,3,4,LE09
1,1,2,1,4,4,5,4,2,1,1,1,1,2,1,3,2,1,5,2,LB09
3,3,3,4,2,3,2,2,3,2,1,3,4,4,3,2,3,3,5,3,LB09
2,2,3,5,5,3,5,5,5,3,2,2,5,2,3,4,5,5,4,5,LC09
3,3,3,4,4,5,4,4,4,4,2,1,2,4,4,3,4,3,5,4,LC09
3,2,3,5,5,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,LB09
3,3,5,4,4,4,4,4,4,2,2,3,4,2,2,2,3,2,3,4,LC09
3,2,4,4,3,2,3,4,3,2,2,3,3,2,2,3,3,4,2,4,LE09
2,2,4,4,2,2,3,4,3,2,2,3,3,3,2,2,2,3,3,4,LE09
2,4,4,3,3,3,2,4,2,2,2,2,2,3,2,3,3,2,3,3,LC09
2,2,1,2,3,4,5,1,2,5,5,2,3,5,5,5,1,1,1,2,LB09
3,2,4,2,3,1,3,4,3,1,2,3,3,2,2,3,2,2,2,4,LB09
3,2,2,5,4,3,4,5,4,5,5,4,5,4,4,4,3,4,4,3,LA09
3,2,4,3,3,3,4,4,3,2,2,3,3,3,2,2,2,3,2,4,LE09
3,3,4,2,3,1,5,3,5,4,3,1,1,2,2,2,3,2,4,3,LA09
1,1,3,4,4,4,5,5,5,2,5,2,3,3,3,2,2,2,3,2,LD09
